Contcod,Country,Region,Year,Bin_year,Group1,Group10
AGO,Angola,Sub-Saharan Africa,1995,1993,174,2528
AGO,Angola,Sub-Saharan Africa,2000,1998,45,3378
ALB,Albania,"Russia, C. Asia, SE Europe",1996,1998,687,4126
ALB,Albania,"Russia, C. Asia, SE Europe",2002,2003,644,3681
ALB,Albania,"Russia, C. Asia, SE Europe",2008,2008,736,6048
ARG,Argentina,L. America & Carib.,1987,1988,1107,22020
ARG,Argentina,L. America & Carib.,1993,1993,741,16030
ARG,Argentina,L. America & Carib.,1998,1998,485,17145
ARG,Argentina,L. America & Carib.,2003,2003,248,13374
ARG,Argentina,L. America & Carib.,2008,2008,861,21743
ARM,Armenia,"Russia, C. Asia, SE Europe",1998,1998,298,2825
ARM,Armenia,"Russia, C. Asia, SE Europe",2003,2003,368,2918
ARM,Armenia,"Russia, C. Asia, SE Europe",2008,2008,569,3867
AUS,Australia,Mature economies,1989,1988,2890,28953
AUS,Australia,Mature economies,1994,1993,1792,27652
AUS,Australia,Mature economies,1999,1998,3422,30794
AUS,Australia,Mature economies,2003,2003,3017,31786
AUT,Austria,Mature economies,1987,1988,6137,27312
AUT,Austria,Mature economies,1994,1993,4249,35860
AUT,Austria,Mature economies,2000,1998,4876,34065
AUT,Austria,Mature economies,2005,2003,5794,38755
AUT,Austria,Mature economies,2008,2008,5535,33355
AZE,Azerbaijan,"Russia, C. Asia, SE Europe",1995,1993,288,2830
AZE,Azerbaijan,"Russia, C. Asia, SE Europe",2001,2003,434,3996
AZE,Azerbaijan,"Russia, C. Asia, SE Europe",2008,2008,828,6604
BDI,Burundi,Sub-Saharan Africa,1992,1993,107,831
BDI,Burundi,Sub-Saharan Africa,1998,1998,53,959
BDI,Burundi,Sub-Saharan Africa,2006,2008,144,974
BEL,Belgium,Mature economies,1988,1988,3753,20652
BEL,Belgium,Mature economies,1995,1993,4307,28315
BEL,Belgium,Mature economies,2000,1998,4990,41538
BEL,Belgium,Mature economies,2005,2003,5016,34750
BEL,Belgium,Mature economies,2008,2008,4546,30173
BEN,Benin,Sub-Saharan Africa,2003,2003,190,1978
BFA,Burkina Faso,Sub-Saharan Africa,1994,1993,110,2061
BFA,Burkina Faso,Sub-Saharan Africa,1998,1998,121,1994
BFA,Burkina Faso,Sub-Saharan Africa,2003,2003,169,1823
BFA,Burkina Faso,Sub-Saharan Africa,2009,2008,193,2167
BGD,Bangladesh,Other Asia,1988,1988,185,1091
BGD,Bangladesh,Other Asia,1995,1993,197,1413
BGD,Bangladesh,Other Asia,2000,1998,203,1460
BGD,Bangladesh,Other Asia,2005,2003,231,1629
BGD,Bangladesh,Other Asia,2010,2008,247,1676
BGR,Bulgaria,Mature economies,1989,1988,2829,12424
BGR,Bulgaria,Mature economies,1994,1993,1572,7516
BGR,Bulgaria,Mature economies,1997,1998,842,4244
BGR,Bulgaria,Mature economies,2003,2003,856,5879
BGR,Bulgaria,Mature economies,2007,2008,1077,7280
BIH,Bosnia and Herzegovina,"Russia, C. Asia, SE Europe",2001,2003,1607,9660
BIH,Bosnia and Herzegovina,"Russia, C. Asia, SE Europe",2007,2008,1543,15518
BLR,Belarus,"Russia, C. Asia, SE Europe",1988,1988,1637,7030
BLR,Belarus,"Russia, C. Asia, SE Europe",1993,1993,1194,4757
BLR,Belarus,"Russia, C. Asia, SE Europe",1998,1998,730,5228
BLR,Belarus,"Russia, C. Asia, SE Europe",2002,2003,1107,6660
BLZ,Belize,L. America & Carib.,1993,1993,242,14772
BLZ,Belize,L. America & Carib.,1998,1998,253,9964
BOL,Bolivia,L. America & Carib.,1990,1988,461,6312
BOL,Bolivia,L. America & Carib.,1993,1993,302,10453
BOL,Bolivia,L. America & Carib.,1997,1998,121,11645
BOL,Bolivia,L. America & Carib.,2002,2003,62,10365
BOL,Bolivia,L. America & Carib.,2008,2008,116,11131
BRA,Brazil,L. America & Carib.,1988,1988,196,15081
BRA,Brazil,L. America & Carib.,1993,1993,143,12854
BRA,Brazil,L. America & Carib.,1998,1998,204,17473
BRA,Brazil,L. America & Carib.,2003,2003,192,15627
BRA,Brazil,L. America & Carib.,2008,2008,346,18498
BRB,Barbados,L. America & Carib.,1996,1998,3478,46432
BTN,Bhutan,Other Asia,2003,2003,263,4294
BTN,Bhutan,Other Asia,2007,2008,381,3998
BWA,Botswana,Sub-Saharan Africa,1993,1993,196,7845
CAF,Central African Republic,Sub-Saharan Africa,1992,1993,21,1418
CAF,Central African Republic,Sub-Saharan Africa,2003,2003,105,1656
CAF,Central African Republic,Sub-Saharan Africa,2008,2008,75,2839
CAN,Canada,Mature economies,1987,1988,3832,34682
CAN,Canada,Mature economies,1994,1993,4059,34982
CAN,Canada,Mature economies,2000,1998,4047,38148
CAN,Canada,Mature economies,2004,2003,4195,42439
CAN,Canada,Mature economies,2008,2008,4005,56054
CHE,Switzerland,Mature economies,1994,1993,3843,45005
CHE,Switzerland,Mature economies,2000,1998,5134,46200
CHE,Switzerland,Mature economies,2004,2003,4874,43051
CHE,Switzerland,Mature economies,2008,2008,0,53300
CHL,Chile,L. America & Carib.,1987,1988,344,13336
CHL,Chile,L. America & Carib.,1992,1993,531,16841
CHL,Chile,L. America & Carib.,1998,1998,609,21895
CHL,Chile,L. America & Carib.,2003,2003,677,22215
CHL,Chile,L. America & Carib.,2009,2008,906,25336
CHN,China,China,1987,1988,161,1113
CHN,China,China,1993,1993,140,1683
CHN,China,China,1998,1998,200,2401
CHN,China,China,2001,2003,166,2892
CHN,China,China,2007,2008,288,7015
CIV,Cote d'Ivoire,Sub-Saharan Africa,1988,1988,336,3386
